name,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23
Weider, 1,0,0,1,0,0,0,0,0,0,0,0,0,2,0,0,0,0,1,0,0,0,1,0
Curry, 6,3,3,0,0,3,3,0,1,1,3,10,11,8,6,2,4,1,11,16,15,17,13,6
Water, 0,0,1,0,0,0,0,0,0,0,0,0,0,3,1,0,0,1,2,0,0,2,0,0
Coke, 3,6,4,4,2,3,0,1,0,2,1,6,19,26,30,35,32,5,10,9,3,14,7,9
Cracker, 6,0,5,2,1,0,0,0,8,6,6,4,12,12,6,7,28,27,13,13,5,5,8,5
Juice, 5,5,1,1,0,0,0,1,2,2,2,1,4,13,2,9,6,7,6,3,9,5,4,1
Barley Tea, 2,0,0,2,0,0,1,0,3,6,3,1,2,3,5,2,7,2,1,3,2,3,1,1
Coffee, 11,7,12,11,7,5,0,3,4,10,9,5,13,22,11,25,18,6,4,11,3,13,26,10
Sports Drink, 0,0,0,0,0,0,1,0,1,0,0,1,0,2,4,0,0,1,0,0,1,4,0,2
Refresh, 0,1,0,0,0,0,0,0,0,0,1,1,0,1,1,1,0,0,1,0,0,0,0,2
Amazake, 0,1,0,0,0,0,0,0,0,0,2,0,1,0,2,0,1,1,0,1,0,0,0,0
Umaibo, 75,48,39,14,16,6,8,1,3,3,2,8,39,26,36,37,81,90,133,50,49,46,38,39
Cake Mix, 0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,0,3,1,0
Lemon Tea, 0,1,1,0,0,0,0,0,1,3,1,0,2,3,0,1,0,1,0,1,0,1,1,1
Spaghetti, 0,3,4,3,0,0,0,0,0,0,0,2,15,1,4,1,0,3,6,15,9,7,6,0
Ramen, 6,2,8,0,3,2,1,0,1,0,1,6,17,21,12,16,10,12,18,23,12,9,10,7
Vegetable Drink, 13,24,15,6,6,10,4,5,7,10,6,19,15,15,16,19,15,10,20,17,21,16,25,21
Chazuke, 2,5,4,1,1,2,1,0,0,0,6,0,2,4,0,3,0,1,2,2,3,2,8,2
Ichigeki, 0,0,0,0,0,1,2,0,0,0,1,0,0,1,1,4,2,0,2,0,0,1,0,0
Soba, 1,0,0,0,0,0,0,0,0,0,0,3,7,1,1,2,2,1,1,2,3,1,0,1
Soda, 6,10,7,1,0,0,1,1,0,4,3,6,9,18,18,18,11,15,15,14,9,11,5,10
Chow Mein, 11,1,2,2,1,0,1,1,0,1,2,15,21,22,12,14,6,10,8,21,18,9,5,8
Cookie, 4,0,2,0,0,0,0,0,0,0,0,2,0,0,0,4,0,1,0,0,2,2,0,0
Oolong, 3,5,3,0,2,3,0,0,8,6,13,14,24,25,6,10,7,7,3,3,1,2,1,5
Sausage, 1,2,7,1,1,2,0,0,0,0,0,0,1,8,4,1,3,3,9,4,3,1,0,1
Tagiru Ace, 0,0,0,0,0,0,0,0,0,0,0,0,1,3,1,0,2,0,0,0,0,0,1,0
Vanilla Rich, 1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,3,0,0,0,0,0,0
Egg, 2,1,4,4,2,1,0,2,1,7,2,0,6,3,0,2,4,2,4,6,14,5,9,3
Udon, 11,2,4,0,0,1,0,0,0,0,0,5,7,6,13,12,4,6,11,14,10,6,7,5
Chocolate, 10,15,4,1,5,1,1,1,5,4,6,4,6,6,4,15,8,21,14,14,10,8,11,8
Milk Tea, 8,9,4,6,4,3,2,1,5,31,18,53,50,67,32,27,36,21,22,10,9,10,13,9
Black Tea, 1,2,0,0,0,0,0,0,0,1,1,1,1,2,0,0,0,0,0,1,1,2,0,2
Pie, 0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,3,0,0,5
Miso Soup, 1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0
Hayashi, 0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,3,1,0,0
Super2, 1,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0
Peach Fizz, 0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,2,0,0,1,0,1,0,0
Koala's March, 1,0,1,0,1,0,0,0,0,1,0,1,3,2,4,7,7,4,9,1,3,6,5,2
Vitamin Drink, 10,19,15,13,7,8,4,9,9,9,6,8,17,18,11,21,10,13,10,6,11,6,17,10
Calorie Mate, 4,3,2,1,0,0,0,0,0,1,0,0,0,0,0,2,2,8,1,3,0,1,0,2
Green Tea, 8,11,13,7,1,1,4,3,9,32,17,31,42,47,27,28,17,22,18,15,15,12,13,9
